sentence,emotion
@user it's clear y'all had no good reason to hand the keys over to a goon. but yet...  ,0.25
@user it's going to be a great year!!! i can't wait till this happens :) #treason #traitorump #liarâ¦ ,0.25
"@user it's hard to believe i live in a world where my 700 pa hillary thread isn't trending but ""tony hawk"" is. â¦ ",0.25
@user it's not just lasses... ,0.25
@user i've had 9.5 years of mostly #arrogant #abusive #discriminating &amp; even  #dutch '#drs'... just leave me to die!,0.25
"@user jews, christians and muslims all believe that good will prevail.   #emiratisâ¦ ",0.25
@user john terry just chose white christmas as his favourite christmas song on @user no surprise there. ,0.25
@user judd is a  &amp; #homophobic #freemilo #milo #freemilo #milo #freemilo #milo #freemilo #milo #freemilo,0.25
@user just asking....oh and of course black people can be racist. that belief in itself is superior and by definition is .,0.25
"@user just got done threatening my coworker to give me money and he says ""black male is illegal"" smh  #really",0.25
@user just pre-ordered this. it sounds a really great book ,0.25
@user just terming ppl as bhakt because they denounce terrorism and anti national acts shows ur sense to reason! never miâ¦ ,0.25
@user keep standing your ground. interview represents #fakenews &amp; blatant misrepresentation of valid statementâ¦ ,0.25
@user kevin macdonald:  ethnocentrism is normal and rational     #race #ethnocentrism @user,0.25
@user kinda digged the white chick tho thought she was gonna win but guess  #sarcastic,0.25
"@user last  retro #christmasadve for you this year, and whilst i do love a good bit of #tupperwear i do not wantâ¦ ",0.25
"@user leave a 'gweh' below â¬ if in 2017, you will no longer debate #wypipo about  #slaverâ¦  ",0.25
"@user lesson from history, choose carefully; main l. king / malcolm x :: reconciliation / vengeance #blacklivesmatter  #lgâ¦",0.25
@user let's do this! @user #maga #thanksjackasses #packyourshitobama #2a #trumptrain #tcot ,0.25
@user look at his latest tweet. this #conman @user doesn't want unity at all. #bigot  #conman @user,0.25
"@user louisville, kentucky woman goes on  rant at #jcpenny   #exposeracism #ignorance ",0.25
"@user male privilege, huh? yeah, about that... #tcot  #feminism #men ",0.25
"@user man, sees me wearing manchester united hoodie: are you a fan?  me: yes!  man: are you sure? do you even know one player?â¦",0.25
"@user many toy adves are  and show 'narrow and limiting' #genderstereotypes, study warns  via @user",0.25
"@user meet the  white nationalist movementâs favorite russian philosopher, aleksandr dugin  ",0.25
@user melania #trump is helping me write a speech to end  in the us. the title she came up with is great - âi haveâ¦ ,0.25
@user men don't think #misogyny is an issue the way white people don't think  is an issue.  try listening insteadâ¦ ,0.25
@user michelle obama âape in heelsâ case is just the beginning #donaldtrump  #america   ,0.25
@user milo yiannopoulos.is a hate mongering .  i'll never buy another book from nazi ss and tossing any i have in the bin,0.25
"@user more  propaganda from #palestine - this time videos on ""how to properly stab a jew""  #standwithisrael ",0.25
@user more #marxist evil jew #propoganda! why is it jew controlled media has never and never will cite any non white grouâ¦ ,0.25
@user multiple types of racism in america  #us #america ,0.25
@user must be said: #trump voters are guilty of normalizing . which is a form of racism. morality is a not a moveable feaâ¦,0.25
@user my #santaproject is to not shop at @user as long as they suppo #trump brands. #hate  #ivanka #macysâ¦ ,0.25
"@user my age, gender or race should not define my capabilities in 2016.   #ageism",0.25
@user my family's horrible  attack at #thegreenpalmcottage in #plettenburgbay #westerncape thyini thiza! we want tâ¦ ,0.25
@user my story: how #race and  have played a role in my life -  ,0.25
@user my video on the whole @user situation #boycottdelta #exposed #truth  #fraud #adamsaleh #delta #prankster ,0.25
"@user nazis continue to target jews, businesses in #whitefish  #jewish #christians  #montana #naâ¦",0.25
@user needs to exit the political and journalism world. exit stage left. ,0.25
@user never be content to sit back and watch as others' rights are trampled upon. your rights could be next. #iqg  #â¦,0.25
@user new law makes it acceptable to clip racist cab drivers round the ear:  #satire  ,0.25
@user new video!  @user #whitepeople  #kanyewest #racewarchess!   wanna see the worst shâ¦ ,0.25
@user new video!  super mario run is sexist!  #christmas #ivankatrump #manspreadingâ¦ ,0.25
@user next to a police vehicle this #anc  can hang a poster and sing kill all whites and nothing happens to him.â¦ ,0.25
@user nick cannon speaks out against the systemic  of @user  via @user #alllivesmatter #unboâ¦,0.25
@user nicola sturgeon sends her christmas message surrounded by white children. no brown kids for nationalist nicola.   #sâ¦,0.25
@user no as u have termed him an outsider who gave u that right? i only said @user is more indian than many of us.â¦ ,0.25
@user no convo on how to stop indigenous deaths means anything unless it stas with how we face into epidemic  against #atsiâ¦,0.25
"@user no it doesn't, germans, even fascists rape too. so how should  help?  @user @user",0.25
@user no joke! i'm tired of #celebrities acting like i'm #threatened by them leaving. also they're too  to move to #mexico.,0.25
@user no joking matter! officers fired for joke about target practice in #black neighborhoods  via @user,0.25
@user no! the neighbor has not been arrested. the cop was more interested in the kid littering than the assault of the kiâ¦ ,0.25
"@user no, we're not ",0.25
"@user no, you're just supposed to be quiet and look pretty. ",0.25
"@user not surprised how ""news"" outlets call opposition to @user race-mix ad . they hate racism, though. i embracâ¦",0.25
@user nothing #human about @user #cruel #bitter #sociopathic  the soul has fled the #fugly #lunatic. ,0.25
"@user now you wanna mock my country b/c you have no pt.ð #libtards are the most s of all,b/c ""it's not  ifâ¦ ",0.25
@user ny cunt campaign co-chair unleashes on #obamas in  2017 wish-list:  # via @user #fucktrump,0.25
@user obama has been the most destructive president in history &amp; that is his legend. #isis #iran  #copkiller #syria @user #more,0.25
"@user obama joins the jackals ð¤  ass america will miss obama, when they realize trump will do nothing for them. #trumpisâ¦",0.25
@user obama/jarretts who agenda was to destroy everything good about this country and inflict even bit of hate ,0.25
"@user of course liberals see  everywhere, they are looking at the world through racist eyes.",0.25
@user omfg i'm offended! i'm a  mailbox and i'm proud! #mailboxpride  #liberalisme,0.25
"@user omg, what is up with the use of the word ""broad?"" and if people don't agree w/you, they're ""triggered?? â¦ ",0.25
@user oops! i did it again! melted another fragile snowflake!  #sad #soreloser heed #triggerwarning ,0.25
@user ouch woow! @user @user #sexy @user @user  @user @user ,0.25
@user our #4 most popular post this year was @user brilliant take on #whiteprivilege:  #â¦,0.25
"@user outraged by the emoji update. how dare they have a fat woman and not a fat man, are they saying only women can get fat? ð¤°ð¼#sâ¦",0.25
"@user pastor maimane won't respond to that,zille is his boss and she literally made him.he will kiss his job goodbye shouâ¦ ",0.25
@user paul beloy:  is still an issue at varying levels in belgian football  @user ,0.25
@user pay of #rich #white  #snobs  via @user #tcot #tpc #trump #2016,0.25
@user perfect timing for this tweet!  #staup  ,0.25
@user please #resign from the @user school board. ,0.25
"@user please don't forget to use the word ! that is what ""binds"" these men. we can never ignore or excuse thatâ¦ ",0.25
@user please reconsider. to me you stand for the glitter of new york. after jan. 20 for #misogyny  #rape #adultery #incest #hate,0.25
@user please retweet video that sparks outrage: white officer arrested black mother after littering argument  # ,0.25
@user police being horribly hyper-violent in their raids...  #acab ,0.25
@user powerful women work for trump !!!  racist sexist @user   never bash trump again. @user ,0.25
"@user ppl wait for 10 hrs @user airpo, miss connecting flights, put them on flights 24 hrs later, aâ¦ ",0.25
"@user ppl wait for 10 hrs karachi airpo, miss connecting flights @user put them on flights 24 hrs lateâ¦ ",0.25
@user precisely why the deplorables are up in arms   ,0.25
@user president jimmy caer leaving his religion due to  ,0.25
@user prison officers goaded #muslim inmates until they needed to be restrained as pa of a  game ,0.25
"@user racial differences r biological reality, same as rottweilers vs.  chihuahuas. iq&gt;95 should understand. ",0.25
@user racial profiling by @user in cologne. such disgusting...  ,0.25
@user racism &amp; fascism will not get you ratings a&amp;e.  people will #resist  every time. ,0.25
@user racism at home and anti- advice for others: we're good at both. ,0.25
@user racism stuffed into skinny jeans with a hipster comb-over is just as bad as racism shrouded in a white hood #altright = #â¦,0.25
@user racist  austin police ofc cameron staff #cameronstaff #camstaff #officerstaff   #acab #cowardcopsâ¦ ,0.25
@user racist attack on three muslim women in #hull city centre...  for more info:   #muslimsâ¦ ,0.25
"@user racist schools are teaching students that ""whiteness is a problem""  ",0.25
@user re: your message of  #hate - god loves #all people.  is not just about color - it's about hate &amp; you preach hate!,0.25
@user reading 4 the next american #revolution | #race  #intersectionality #language #politics #educationâ¦ ,0.25
@user reject  news  - my latest #amwriting aicle on @user,0.25
"@user relied on #bankruptcy  protection to keep his ego up as a #billionaire . used , #xenopbobiaâ¦ ",0.25
"@user research:  and  played greatest role in #2016election, by @user  ",0.25
"@user sad how people feel they have to treat others like scum just because of their religion, race, sexuality, ect. #jcpenney #râ¦",0.25
"@user sad that there is so much hatred towards jews in eu &amp; xians in me. remember xians of kenya, nigeriaâ¦ ",0.25
@user says he's ashamed of things he's done but continues to make shameful remarks to women #hypocriteâ¦ ,0.25
@user says who?! your iq is so low u have 2stand on a highstool 2raise your iq. we both know #blm is aâ¦ ,0.25
@user seems its escaped your attention that bashing whites isn't winning you any elections - over 1200 dem seats lost 08-â¦ ,0.25
@user sessions to african-americans: fear not  @user @user #jeffsessions #imagemakeovers #makeoâ¦,0.25
"@user sick of liberals thinking it's ok to dictate where they think israeli jews should be allowed to live, including in isrâ¦",0.25
"@user sickening, but very impoant, reading  ",0.25
@user silence betrays the innocent. #activism #hunger #nofur #animalrights #noyulin #eah #wildlife #vegan  #lgbt ,0.25
@user smiling has a positive effect on racist and  first impressions - ,0.25
@user snatch that wig off james brown head &amp; get her out ! ,0.25
@user so far all the blog comments claim senad lulic statement wasn't racist. join the debate.  #lazioâ¦,0.25
@user so had the right idea in how to deal with her #nasty  ,0.25
@user so i guess that white women aren't to blame? how does that work again?? @user @user  #propaganda #alllivesmatter,0.25
@user so is it offical that #jews are officially  in the eyes of the #libtard masses? ,0.25
"@user so sick of all the pre-programmed #hillbots rhetoric! enough, already!! how about unity, patriotism and love for feâ¦ ",0.25
@user so sorry ,0.25
@user so true! ,0.25
"@user so, what are you saying, blacks = criminals?   #blm #teamd",0.25
@user some interesting #aicles  #education ,0.25
@user someone should feed you grenades you stupid fuck   shit,0.25
"@user spread the word &amp; join millions for national day of healing jan. 17, 2017  #trht @user #â¦",0.25
@user stay the course! #losers never win  dinosaurs #thefuture belongs to us #nofear we will not go back! #inferioritycomplex,0.25
"@user stop legitimizing by using ""alt-right"" &amp; call them what they are: #neonazis! ""..from nazi doctrine, incl ultranationalism ...""",0.25
@user stop perpetuating false racism and leftist subversive politically correct propaganda. america is not racist! wâ¦ ,0.25
@user stop these  chelski fans. #equality #diversity ,0.25
@user stop this ,0.25
@user stop trying to find  where it isn't even happening! #airingofthegrievances ,0.25
@user strangely silent on the #idiotic  'statement' by @user not surprised. #twonitwittrumpsuppoers,0.25
"@user suck it, haters! #hillary voters hate/fear this, #trump voters love/know this. who is the ? ",0.25
@user tell that jeffery beauregard @user to quit foolin' around and come pick up his hood &amp; sheets for saturdaâ¦ ,0.25
@user thanks to you the next four years are forecasted to be the worst. i hope your  #fascist plans for #2017fail!,0.25
"@user that isn't what you said when you tweeted about the #nazi's over #hatred,  &amp; #bigotry ",0.25
"@user that whole #russia #trump #tiesto , #whiteamerica too stupid,to realise that a young progressive country,is #gop #communism,",0.25
@user thats  you #liberals!,0.25
@user that's because #hate  #bigotry and #greed is the new #religion ! #makeamericagreatagain #trump #goppropaganda,0.25
@user the #dems need to keep feeding their  #narrative. #marxism,0.25
@user the end of   #me #selfie # #love #messi #cr7 #religion #christianity #mecca_live ,0.25
"@user the feeling's not mutual, you , #ableism, islamophobia, , #transphobia, #misogyny, #homophobia-enablin' #bigot. ð",0.25
@user the kind of  we can expect in #trump amrica,0.25
@user the latest the blicqerâ¢ daily!  thanks to @user @user @user  #maga,0.25
@user the latest the blicqerâ¢ daily!  thanks to @user @user @user  #marketing,0.25
@user the latest the blicqerâ¢ daily!  thanks to @user @user @user  #news,0.25
@user the latest the blicqerâ¢ daily!  thanks to @user @user @user  #trump,0.25
@user the latest the knitting clio daily!  thanks to @user @user @user #twitteâ¦,0.25
@user the main stream news media like @user was busily covering a small hand  misogynist  to notice..,0.25
@user the major kind of  that people arenât talking enough about  via @user #environmental #â¦,0.25
@user the real jeff sessions.   #neverump #swampmonster  #,0.25
@user the term  works both ways for those of you all too happy to keep bandying it about!! #justsaying,0.25
@user the truth about  #sexualharassment &amp; #laborviolations @user ,0.25
@user the white flight of derek black  #kkk #trump  #change,0.25
@user then what is it? ,0.25
"@user there is no way, that this, this... man should be allowed to become attorney general.  #liar #asshat",0.25
@user there is only one requirement for the job of the us president: being male #stillwithher #hillaryclinton #neverumpâ¦ ,0.25
@user there's never any room for  in a school board. ever. kids at these schools are 100% of our future.,0.25
"@user they are, but #anc  laws against whites protects blacks in #southafrica. #affirmativeactionâ¦ ",0.25
@user this  motherfucker needs to be in #prisonâ¡ï¸ âcharles paladino's racist comments spark calls for resignationâ  ,0.25
@user this guy is a racist full of ignorance and hatred. #bigot  #ignorant,0.25
@user this guy look like his brother is @user who's first wife found him w/another man having sex documented on @user a  #tvð©,0.25
"@user this is awful! just slap on the face to #americans hey my neighbor black just bought a $700,000 house. we r soâ¦ ",0.25
"@user this is one of those #proudtobeanamerican moments on hannity @user responds to , semi-retarded @user ",0.25
@user this is our time to #fightback against evil men such at #donaldtrump and his  #homophobic and #ego! #peacein2017,0.25
@user this is really telling.   #microaggressions #race #whiteprivilege #antiblackness,0.25
@user this is what #ladies like... lol wtf is this? this is why you all let a  get in the white house. you're all a shame.,0.25
@user this is what #shitler is referring to when he ignorantly shouts #maga &amp; his racist sheep sta bleating  ,0.25
"@user this nonsensical, hate-filled word-salad w/b funny if it weren't so sad....   #bigotry #notmypresident! ",0.25
@user this should have been enough 2 just say no #notmypres #wtf2016 #neverump #unpresidented #bigot  â¦ ,0.25
@user this sums up why i voted for #brexit; not  or #littleenglander syndrome but sovereignty and democracy   ,0.25
@user this thread is the fully bomb. racism is the most effective weapon of white supremacy. it has no i test in being diâ¦ ,0.25
@user this white crowd turned its back on an all-black basketball team at a high school game. #trump  ,0.25
@user this's insane acts by #koreans. they will trample national flag of other nation. it's clearly . #rapeculture ,0.25
@user todays  donkey #zionazis are proud of murdering real palestinian semitic children - thats what i callâ¦ ,0.25
@user travelled for #canucks game sad and disappointed of #oiler fans the  sad i can't cheer for my own team . @user @user,0.25
@user trump campaign official wants michelle obama to be âlet looseâ to live with african apes  #notmypresident ,0.25
"@user trump lackey carl palladino is th get of a mating betwn a pig &amp; a hyena &amp;  iq of a slug. apologies to all pigs, hyeâ¦ ",0.25
@user trump new york co-chair makes racist 'gorilla' remark about michelle obama &lt; you total tool! fucking moron.  htâ¦,0.25
@user twitter is full of vile #altright  #homophobic #theistic #trolls but man does it give me the juice to #fightlikeagirlâ¦,0.25
"@user u lose ur right 2 call others ""racist"" after a tweet like this. what a hypocrite.  #whitegenocide ",0.25
@user uk 2016: where it fell to pop star @user to do the job of the #bbc #euref #brexit #media  ,0.25
@user video shows white texas cop arresting black mother who repoed assault on her son   #blaâ¦,0.25
"@user video: @user on #hateful  #liberals ""#america has had enough of this crap!""  @user",0.25
"@user w/ props, #jesus was not #black nor was he white. those who promote the #hateful  #biggotry need to be called vile scum.",0.25
@user watch one u.s. #marine fearlessly take on violent angry  mob of pro-palestine protesters ... ,0.25
"@user we have to do this. need to change  profiling, #economicapahied, #hatespeech and get service to the poor.â¦ ",0.25
"@user we might be going to hell, but we're not surprised at #versace  ",0.25
"@user we might be going to hell, but we're not surprised at #versace  ",0.25
@user we were talking about obama and your  and #bigotry.  stay on topic.,0.25
@user well there's a surprise.... wonder how much that bit of research cost.. ,0.25
@user what about black tea?  @user,0.25
@user what do you think of #alexjones saying #draintheswamp? #populationcontrol  you had good videos with him. they got him.,0.25
@user what does #mtv have against #whitepeople? #ccot   via @user,0.25
@user what is your problem? ,0.25
@user what you should know about #environmental . @user  ,0.25
@user what2inlieuof #narcissimâ#misogynyâ? #tolerance #kindness #peace stop w/#hate. look inside you are #love!â¦ ,0.25
@user what's the difference between a jew and a pizza?  a pizza doesn't scream in the oven.  jokes #jewishjokeâ¦,0.25
"@user when you say you make mediocre videos, you're being way to flattering.  why so  though?  ",0.25
@user where on eah is pastor #mmusimaimane? is he perhaps in prayer &amp; meditation on how to respond with spin to thisâ¦ ,0.25
"@user whining ""women have it so much harder than men, cause ."" @user ",0.25
@user white fragility: why itâs so hard to talk to white people about : ,0.25
"@user white people got nothing to do with this nigga. it's just one sick, horrible person, sadly all youâ¦ ",0.25
"@user white people, black people, brown people  good &amp; evil is not a color! #race  #blog ",0.25
@user white supremacy is not a joke (i agree) but lying 2 wmn 2 get laid is woh joking about? line of thought by @user,0.25
@user white: good  dark: bad  itâs a twisted version of  thatÂ makes india racist against its own people! ,0.25
@user who breathes through a wave? maybe you need to. #resilience   ,0.25
@user who the hell is juan to decide if kellyann can raise her kids and work? we've been doing it for years! can't standâ¦ ,0.25
@user why are white people #expats when the rest of us are #immigrants?   #classism #imperialsm,0.25
"@user why do  refer to everyone else as racist. simple, they're projecting their intolerance. ",0.25
@user why do u have to take the king to win chess? why not the queen???  #downwiththetriarchy #thefutureisfemale,0.25
@user why is #obamalegacy only showing negative stuff??... i'm so confused.  #obama #potus #donuldtrump,0.25
@user why should this person be rehired?  shame on #claycountydevelopmentcorp #pamelaramseytaylor ,0.25
@user will the alt-right promote a new kind of  genetics?  mt @user  ,0.25
@user will u charge 35% on yur own products made outside the usa? do tell!  #hypocrisy #trumplies #bigot #nazi ,0.25
"@user will you stop the , , #homophobe etc labeling.  i suppo #trump and i am none of the above.  #60minutes #wtfâ¦",0.25
@user win with dignity you chauvinist pig. #notmypresident #fucktrump #lostpopularvote #americadoesntwantyou  #bigot,0.25
"@user woh reading. ""here's how joseph boyden reinforced systemic oppression of first nations""    viâ¦",0.25
@user would you want your child to attend this school? i wouldn't. #radical  #indoctrination,0.25
@user wow #blackpeople in #harlem are worried bout #whitepeople and #latinos moving in if that was reversed it would be called ,0.25
"@user you anti-whites brag about our ""inevitable brown future"" then scream """" when we oppose it. you're pushing #whitegenocide.",0.25
@user you are disgusting and you need to be released into the wild and die of mad cow disease. ,0.25
@user you areclueless buddy regarding long standing american policy. you comments are reflections of ignorance and  @user,0.25
@user you can still be .,0.25
"@user you don't think w will share guarani aquifer water w those who humiliated little brother, @user ",0.25
"@user you forgot: small hands, orange skin, weird hair, big teeth #sociopath #insanity #misogynist  #bigotâ¦ ",0.25
@user you go girl!! #maga ,0.25
"@user you may have good intentions in saying ""i don't see color,"" but you're missing the point.  #colâ¦",0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you might be a libtard if... #libtard  #sjw #liberal #politics ,0.25
@user you should take action against your filthy plantation location manager. what a disgraceful pos!  #boycott,0.25
@user you win douchelord #2 of the year. good work. #dickhole #douchebag #asshole #yousuck #mysoginist #bigot  #fear,0.25
@user your analysis of  &amp; #blacklivesmatter was totally out of touch &amp; did not represent the spirit of #islam. #ris2016,0.25
"@user your comment = â¬ 5,- donation for #refugeeswelcome â¤  + #fascists suck #kissmyarse",0.25
"@user your comment = â¬ 5,- donation for #tefugeeswelcome â¤  sucks",0.25
@user your comments about  mrs. obama are offensive and fuher confirm that you are a racist jackass.  #idiot ,0.25
@user your comments are reflections of ignorance and  @user @user @user,0.25
@user your comments are reflections of ignorance and  c@user @user @user @user @user,0.25
@user your comments are reflections of ignorance and . @user = #endofcivilization  @user,0.25
@user your comments are reflections of total ignorance and absolute ,0.25
@user your definition of subtle  doesn't count. use the english dictionary definition. otherwise you risk slander.,0.25
@user your fall is going to be a thing of wonder #resist #narcissist  #psychopath  #mysoginist  #clown #happynewyear2017,0.25
@user you're such a hatred person @user a #narcissistic &amp;  is who you are! @user ,0.25
@user yup. i concur. as do nearly 3 million voters. ,0.25
@valorandvellum sadly after 10 years of marraige peeing with the door open is common place ,1
@VampireBill  Goodnight and take care ,1
@VampireBill Have a safe trip then. ,1
@Vanilla_B ok miss kat williams lol ive done it ,1
@vaninais ah touche..omg what elenore did to simon! i wanted to cry ,0
"@vdichev Don't read past tweets  Hey, it's not email!",1
@vene2ia I know...what a crazy world! ,1
@veronamay I'm actually more AAW than BLOOD over it atm. Masuka! Aaaw. ,0
@veronica78 good luck on ur law test!  go study now!,1
@veronica78 guess i better make more tweets for @JonathanRKnight to give us a &quot;sweet&quot; bedtime story!  plz!,1
@veronica78 I saw that before it got changed. HOT. ,1
@viaHourt ahhh i see i see.  im in bed watching ugly betty  lol,1
@victoriaerin HEYYYYYYYYYYY YOU ,1
@vielleicht LOL well one thing we can do is you can show me how to get to the rocky horror place ,1
@vinu_ms ?????? ???? ???? ?? ???????????? ... pls excuse spelling mistakes ,1
@VioletLily It gets worse? Poo. ,0
"@VIVA_LA_SUE_SUE i am.  i want beach and pancakes, instead i get L train and taquitos. ",0
"@VIVA_LA_SUE_SUE one day, one day...  all i got now is coney island",0
@vivalanina check out our site for long distance relationship support!   http://www.lovingfromadistance.com/thingsforldrcouplestodo.html,1
"@vjl also, your website seems to be down, FYI. pity, I wanted to check it out  sure you knew that though.",1
"@Vonster good point, 2 draw  2 don't  nice quote though. I like that.",1
@voodooexp2009 i will give my first born to have ghostland observatory at voodoo again ,1
@vuittonretarded  awww. Is there anything i can do ,1
"@vyzion360 Good Morning to you!  Thanks for sharing with us, it's grey and rainy and cold where I am today ",0
"@Wabeywoo Looking forward to the big week of awesome too!  Work is so quiet at the moment, the next two weeks are going to draaaag ",0
@WahooPooh  in the middle of it now.@salspizza taking too long to get here so had to make a start!don't worry I won't do more than needed,0
"@waqaychay  but yr new layout is pretty, though! i saw it last night!",0
@waqaychay not just you. lj is down for me as well. ,0
@warp I love that Aussie cattle dog story ,1
"@wasabifreak Nah, had the salmon ramen. Rubbish for $5, never again ",0
@wastethisnight  awe it's okay. and i'm leaving early! lol how fantastic. is colleen coming?,0
@Wavness I hate the new msn too.           (U),0
@Wavness SAVE ME GAVIN! ALISHA IS FLOODING MSN WITH *BLUSHING AND OMGGGGGGGGG!       s.o.s ,0
@WBPodcast Hells to the no.  I only room with @demmalition.  ,1
@web20classroom Fabulous post about WordAhead!  And overall loved your blog.,1
@wendy_bowser Thank you for the kind words!  I appreciate it.  Have a great night ,1
@Westneyrhindxx hello westney  what are you doing ?? x,1
"@WeTheTRAVIS &quot;Don't Speak Liar&quot; is my favorite of your songs, I'm looking forward to hearing it in Orlando  Get well soon!  ((((hugs))))",1
@WhereisKevinn well my night seems pretty boring in comparison to the strokes you've experienced tonight ,1
@WheresZen get to fcking \/\/ahiawa @landonjumpoff too!!! oh and bring somethin from jacks!! i just ate everything in my fridge!! fahk. ,0
@whiteguysdancin E. Only when my pain subsides enough for me to hurt myself and do it ,1
"@wigsie I do too, but I seemed to have missed this one.   It's a  double feature tonight, On the Waterfront and Casablanca. ",1
"@wildarmsheero probably wouldn't hurt, naisho is all but dead now ",0
@wildfire198 Oh i wish i could do that! I really want to spend the day taking photos ,0
"@Willie_Day26 doing this damn outline for a script! Smh, hella  time consuming. Shouldn't you be taking advantage of some REST, perhaps? ",1
@Willie_Day26 why are you still up? ,1
"@willkuhn Granular synth tutorial = cute  Oh, and very informative, too.",1
"@willwade bah, @holidaybot is RUBBISH! About once a month I think it's reprocessing all it's old replies again. Can't remember why ",0
@wisdomous you're welcome. glad you enjoyed it. ,1
@wmmarc great interview! Glad to see it ,1
@wobblybob31 naa family issues... ,0
@wolfman70 Well right now getting ready for work ,1
@wolfsoul Thanks!  ,1
@Wossy GaGa was hard work wasn't she?! How disappointing to see she's more f'ed up than Jacko  Did she seem more human off-camera?,0
@wpwebhost Have you prepared the 110 x 80px banner? ,1
@Wwailord mkay deal ,1
"@xallthatjazzx The very night I watched it, I downloaded it to my laptop and am now very tempted to watch it lawl. ",1
@xDKrystal woooooooo no welsh ,0
@XgillsX Awww really!? no thanks!!! Even tho i really shud cuz i desperatly need the muni - altho no overtime = clare skint!! ,0
"@xJane Well, since I'm on the subject, maybe I'll complain about it some more. ",1
@xjizzlebabix Can you HEAR me now?  http://snipr.com/fe6zu,1
@xo_mcflyandjb loll hell yeah! how cool would that be?! man doug still wont reply  lol,0
@XPhile1908 &quot;convenience&quot; of the remedy &lt;---That's just cuz you are a doc!  #24,1
@xShorty4Lifex lol yes  it does and i like it that way ,1
@xShorty4Lifex thanx  ,1
@xShorty4Lifex white!! ,1
@xxdrew0590 did you get my voicemail?  haha. i was bored.,1
@XxSimmyxX haha..thatss truue(: and awww&lt;3 why yoo heartbroken??  x,0
"@yannionline I wonder who directed, there's definitely an ipod commercial in their future. ",1
@ycsing that's nicki our monday night drag queen... ,1
@yep1guy i know  looks like im forced to play the ps3! oh no the horror!,0
@yoavsegal Morning ,1
@yod9 Thanks tons man! Seems to b working  Now I must try it on my internet PC in the studio. Need to get u 2 work on my recording pc! ha!,1
"@yoshigi I have terrible back and neck aches too... Get a good chair, that will help.  I am waiting for my &quot;SWOPPER&quot; to arrive. ",1
@youngaq nah I dont even lol haha thankssss for the page love ,1
@youtube  check it out  my page subcribe updating soon http://www.youtube.com/user/KoolKidzBlock,1
@YoYo_Ma lol!  Isn't it past your bedtime? It is for me. See you tomorrow!  ,1
"@ZachTumin @ZachTumin Aye, that's the rub. What will be critical is how the &quot;soon&quot; in &quot;one day soon&quot; turns out ",0
@zackalltimelow im cut you guys are playing in the pub when in melbourne  means i cant go,0
@ZAGrrl Wow! Thank you! Glad to hear that. Isn't it 6am on Chicago? woke up early! It's 8pm here in Korea and I'm still in the office.. ,0
@zarathevegan Working. Delivery day tomorrow. ,0
"@zawfi  Morning there mate, early day for you out there in CA? It should be nice, least the sun is shinning, rain will pour in later ",0
@zeet75 Hahaha. ) I'm taking HRIM.  So I think it's only basic math. ,1
