sentence,sentiment
@goodbyeblueskyy everything okay?,0
"Sitting in an almost empty dorm, waiting for jordan to come to take some last things and say good bye. He graduates tomorrow.",0
I got a headache,0
Lookin' at spreadsheets so long my eyes are crossing...,0
By newark,2
is a bit tired. I blame the rain.  http://plurk.com/p/x2jc9,1
"@SosiP oooh...I wish I could've gone there today, too!   I know Zach was looking forward to it.",0
@justinmcintosh Ugh,2
@iamdiddy yeah except the spurs aren't in the champs like they usually are.,2
is feeling her eyes burned-fried after 10 hours attached to the screen uploading new summer clothing for my store www.Chittypulga.com,3
Only one more day left of Ramona  I will miss the cast soo much!,0
@Philip5150 at the #manics gig.  Toasting your speedy recovery - sorry you can't be here,0
"@Zee I can't, #gravity won't let me.",0
Havin a bad weed first wisdom teeth then ran out of weed now I might be getting sick . . . if only i had more weed,0
@platea sorry @platea friends - I'm swamped with deadlines right now and we have family visiting to boot! No charades for me.,0
"@suzanella I missed mine, too. Not fun...",0
"@rebeccao372 not too bad,but I did get some bad news this afternoon, I got stopped by the police   brake lights out but it's Ã¯Â¿Â½30 fine",0
@midtown i'll teleport it straight to you,3
Had a relaxing day at the park in the sun. Back to work tomorrow,0
@MichyVasquez oh  just be careful on the road.,0
frustrated. I just found out our sitter isn't avail. tonight. now what? no TKD test 4 me I guess  good thing I'm married to the instructor,0
"I've knack my iphone, I got melted chocolate into the speaker, I now can't hear it when it rings",3
My friend's son just got to visit Daddy after 3 yrs. Denied cuz Daddy lost job &amp; could not pay a ton of support. Kids want parents not $!,0
I'm not looking forward to the crazy commute come with everything that's going on down here,0
Just got Dailybooth and not sure what to do. It's confusing!,0
went up to the 9th floor of our building for BC Hydro's 2010 open house thingamabobber. I love their office  its cozier than our 2nd floor,2
I want to be in love.......,0
@2Mbs: to triste,0
"@Emmaroo youre not going, are you   ?",2
@RyanSmithLLC you didn't say you were leaving yesterday! You won't see me at the house anymore once you get back... tear tear,0
@Bre_0 so all done with wow blogging eh?  *huggles*,2
@drew8890. Haha I want another bagel. I have all this blueberry cream cheese left and no more bagel,3
it's friday but i have to work the weekend,0
"@yelyahwilliams Haaaayley, i saw some pictures from the tour, you're so pretty *-* i wanted to see u guys again",3
I'm going to have Zydrate Anatomy stuck in my head for the rest of my life. It makes me miss Chelsea. She always liked Graverobber.,0
My Birthday weekend! cant find where my ex hid our DANE COOK TICKETS for tomorrow!!! WTF that's all i wanted for my birthday,3
Graduating from high school tonight  im kind of sad..,0
there's only one more cherry dr. pepper left in the fridge...thank God. im addicted to that stuff but it does sad things to my skin.,0
so im super sick w/ a fever,0
Kinda may have chickened out...,3
Another friend knocked up.   Pretty soon everyone will have kids. Goodbye carefree youth!,0
i got yelled at 4 helping the cats by my neighbor,2
@LmdLaura im fine. but a bit tired  im glad that its weekend now.,3
"@chrisettefan HEY! aww man, no, i didnt IGNORE YOU i just dont have mobile web. so i can only txt.  i can see you unless i'm here &gt;",0
once i hit christian in the head with a metal bat! haha he then socked me in the eye! haha i miss being a reckless little kid,2
I am so hungry! And there is no food for me to steal,0
@reverz - nice how the lifelock suit was brought by experian basically to reduce processing costs caused by ppl who don't want id theft,0
@Certain_Songs I know  Especially since the summer is such a boring TV time to begin with.,2
Leaving Cali!  I wanna stay longer! T.T,2
sick on wifes bday= double,0
@AJDADDY ima cry tht was mean,2
@stormey09 You meanie! The one time you go to Lux and I wont be there!,3
"Aarg, looks like I have to go home to Vegas this weekend. So much for Maker Faire",3
noooo! @shutuppat  all summer?! I won't see your charming little face ALL summer?!,2
ughhhhhhhh i don't feel good,0
"I'm home, Yay! Unpacked everything, now just got to wash it all",2
@LiverpoolMich funny you should mention that. I have a full unopened jar of nesscafÃ¯Â¿Â½ on my cupboard. But no milk,2
Packing up my desk,2
the suns starting to go in  im getting coldddd!,0
@emzo2k9 miss u m8   we NEED tae have a catch up n that,0
happy that Google Wave is trending.  Can't watch the video for it... certain flash videos are blocked by my company's network.,3
no bbq today  i guess a mini calippo will have to suffice,2
@kkozmic Sorry but there is no parking space. And I just realized I didn't delete one sentence doing copy&amp;paste in that email,0
Ugh! I wanna play dnd but i know i'm going to fail this final. I NEED to study,0
Oh good. I get to be the gooseberry all night now that katy isn't coming,0
"Omg I just woke up after only sleeping for 3hrs, and my arm is just aching... It hurts so bad",2
Practically my whole body burns... I can't bend over or make any sudden movements with my arms,0
@MegFitzgerald my heart hurts too.,0
@piratesswoop I don't have the link anymore.,2
"@Lionel_richie I also saw u on American Idol great performance, I see u will be at Windsor in June 20 Commodores won't be there",2
Sat alone whilst jay plays on his phone,2
@scitadel oh well   Its great to see the canadian math trades getting bigger though.,3
@LisetteRosalie the worst kind of news,0
STOOOOPIT! STOOOPIT GIRL!  That used to be my bro's rendition of &quot;Stop It girl&quot;.    @retrorewind,3
@FrugalGaming i can see the box but when i type and submit nothing happens. ive turned off pop up thingy too,0
around...takin it easy tonight b/c i'm still sick,0
it makes me want to cry when 2 grown men discuss characters on All My Children.,0
I wonder why thumbnail pictures aren't showing up on my TweetDeck?,2
SMH @ PPL WHO ONLY TWIT U UP ON FRIDAYS B/C U GOT 100+ FOLLOWERS AND THEY'RE STILL BANKING 15-20  #NOFAKERY,0
@celestialteapot oh dear.,2
@KristenSavage  I knew it! I use to love that show too  Happy weekend to you too!,3
looks like we're rained out for weekend climbing,0
I can't breathe well but turns out I'm not crazy.  Just inflammed lungs,2
just found out that my husband's grandma fell down the stairs &amp; is at the hospital with several broken bones...praying hard!,0
my laptop my laptop!!!! taking sooooooooooo long to load fdms myspace page,3
"New chic just texted me saying &quot;Thanks for the e-mail&quot; but didn't answer to my question, might need to look for newer chic now",0
"Ach I'm back on t'internet, and @lucypaw has to go drive her mate somewhere so is w'out internet",2
Is wondering why my messages aren't going anywhere ;( I am trying to learn how to tweet &amp; it isn't turning out so hot,0
Stuck in traffic on the 91 on the way to costa mesa,2
"is missing training tonight, the lurgy is on my chest",0
"excited to see &quot;UP&quot; for Logan's Birthday in 2 weeks. Sad he wont have a party bc he doesn't know any kids, tho.",0
"@davilivingston I don't know, I noticed that happens to me sometimes too.",0
Wanna see Up in 2D but everyone wants to see it in 3D,2
@Sampalm  i can't vote for  her i'm #frustraded  :@,2
"@KerryQP Interesting... I never get to Etown, however.",3
@SU2C unfortunately I am stuck at work so I can't get said prize,0
Watching Ellen Love her!! then doing the dishes  and tanning ...it's gorgeous out!,3
Polaroid film today?! I hope so. Green tea = Yum. I got a 8/9 on my appearance for my &quot;job&quot; interview. Too much cleavage?,3
Looking for food at home!.... nothing,0
I don't wanna go to work,0
.... So I always get left out,0
back garden times. my feet hurt,0
"@vlynn8 It's been raining the past few days but it was actually sunny today! Well, for a little while. Now it's super cloudy!",0
i used to have an ozzy osbourne pillow. my mom threw it out. i miss that thing.,0
I just ate some burgers from Jack In The Box and im not sure if I want to continue eating burgers,1
"@shawin That's the problem. The earphones I get here don't last more than 2 months, no matter what brand or price.",0
My pen just blew up in my hand. There's ink everywhere. I am now a walking Rorschach test.,0
"just got back from the ER... i cut myself while trying to cook a nice lunch  3 stiches on my right index finger, talk about ouchie",2
@rachelyn082909 i think i ordered a few days after you. Maybe you got something that was on backorder?,0
misses the seniors,2
my phone is dead and my charger is miles away.. @T_S_R  i'll talk to you in august,0
"Well, of course the envelope I have for the book I need to mail is too small...if it had fit....what fun would that be.",0
@dougiemcfly Oh no!!  Hope you get better for your show in Argentina! Good luck!,2
@burdr &quot;Restoration of the site would also take place as part of the Banks proposals&quot; - after the birds have gone? Avocets there this yr,0
@zoe__  that's not good! hope you get better soon and good luck with the exams!,0
@Eujean2 yeah,0
will be MIA until june 13.. finals,2
@xtfrtalr what's that supposed to mean?! Thats not good,0
"@laurenhobeast As much as I loved Texas, my dislike for needles could interfere.",3
"@pete_brown Damnit, I accidentally put @scottgu instead of @realscottgu in my #FollowFriday",0
"Mary, Are you not receiving my texts????",2
working till 5....why are they playing miley cyrus on the company radio and not adele?,2
i used to have an ozzy osbourne pillow with his face on it. my mom threw it out. i miss that thing.,0
@trpilot im feel verey tired  madry chasawy 9j !!!!!!!!!,0
Someone just bought the domain i planned on buying yesterday damn,2
omg a rat... ewwwww. omg i cant wait for tha marra.. so ecxcited. annabel cant go tho,3
@nickjfrost that's what i tell everyone! their food is the WORST! no one understands my horror.,2
eating ice cream and then getting ready for graduation.,3
@sidrajalil1132 why were you even asking others then  you should have been enjoying the sadness of missing it like me.,0
FUCK! summer school in 3 days... some break,3
@ROHonHDNet Why do you guys use camera angles that make it look like there are only 200 people in the building?,0
"At the doctor's office, waiting for Dr. Sufka to see me. Tired of being sick  hope everyone else is having better Friday than me.",0
wow what a lovely day! Shame i have to clean my room,2
@mileycyrus  they closed the voting...all u can vote for now is best movie  Hope you win it! My 4 y/o Daughter lovesss 2 sing &quot;The Climb&quot;,3
"@madlymint And, yes. I &lt;3 mac, if only it weren't so expensive",3
why won't the kids sleep,2
"@spencerpratt How can i vote, it wont let me, says they closed the votes in her category  i wanna vote",2
@MicahJosiahD i really am going to miss you,0
"@djkaton I feel your pain man, people say it's really good but I don't have the money to waste on a PS3",2
@tweetvisor what happened to my real-time feed? Now friend feed is just like the Twitter website,2
Getting ready for a going-away dessert reception for a colleague who's off to grad school.,3
@myfabolouslife y u gotta say all that,2
Follow @Mz5thAve cause she really shop there!!! Even though she don't be showin love no more,0
I want to get my braces removed sooo bad!!!!,1
@mileycyrus I can't vote for you  they have stopped the voting,2
My comp is being slo w,0
@dougiemcfly  stuck from tom i guess...  hope you get well soon.... wishess....,0
I don't want to apply for jobs!!!,1
"**i hate my hair hiss tee, I feel like I shuld hang out in the ghetto wid dis style",1
I don't seem to have any photos of me and my Grandma together for tomorrow. It is heart breaking,0
Ahh its so gloomy out  I'm pretty sure I just heard thunder eeeeeeek.,0
"28deg C in here, all this tech in my room does have the major downside of a lot of heat, doesn't help its hot outside 2",0
@therealsavannah  why?,2
@Squirrel84 dude there is no sun here.,0
GASP] pulleaase dont hate me if u ask me a question and i dont answer you ... at any given time. i just cant see you! sorry,0
@stereophonics http://twitpic.com/6714p - well done guys! I am gonna miss the tweets!,0
@Polymath7 hey I didn't get the email yet,2
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",0
"Entering twitter 'lurk' mode, time to lock the keyboard, just poured me a whiskey",2
&quot;I never thought I'd die alone. Another six months I'll be unknown&quot;,2
@InsideGaming No flame wars on this weeks episode?,2
@fpudude10 its so sad how dead it is.,0
"@descendtorise i cant go on fb. i found out im an alien one morning, and aliens aren't allowed on fb  but YAYY CONGRATSES!! i miss yew tew",3
Battery is going to die!,0
@VRGURUS What you said is as good as day dreaming!  sorry to say that our country is in such a state....,0
Draven's elbow met cement this afternoon  Looks nasty.,3
I just had to look up endometriosis. Oy!,3
I just wanna be better already,3
"@julia72 weird, 'cause i synced mine this morning and got the new episode...",2
@daynah it doesn't work with the iPhone yet   I love it for the simplicity but I need to be able to sort tasks on my iPhone to be useful,0
@meeshthebeast me and dee mack talking about your baby!  She's almost all grown up!,3
"Whoo, BGT!! I really must multi-task and do my Art work at the same time though, back at College on Monday!!",0
disappointed the didnt win teh glasses.,0
Off to the porn store. I forgot to put Dave in my iPod.  Fail.,0
Well rite i gt a headache,0
This is scary  they hooked me up to 9 wires n it printed sum graph ohhhhhh,3
Looks like the #GM Bankruptcy is going to happen. This loss will help offset the gains that I had earlier in the year tax wise. Oh well,2
Just one of those days.... I pray it will get better..,3
"@fishhhface CASEY'S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She's prolly freaked cause it's new. Can we get her back?",0
@SuzzyqOtstyle me too chick,2
@Lampplease ew agreed,2
Re-pinging @NUNU_B: Is it pathetic that my mom is my best friend  hell know I talk to my mom bout everything everythinggg,2
@cloudconnected I talk to Ty all the time on XBL. I'm sure I could manage.,2
disappointed she didn't win teh glassez.,2
Holy moley! It's raining cats and dogs here! And I just got snazzified by Min at Salon Mint!,2
"@cosRobPerkins You're the third person to ask me out on Mon afternoon ;) I'm so sorry, but I'm helping tutor my friend for C1/C2  xx",2
@GDGOfficial  what about England??,2
Dropped off Baby A for her 1st day in the Toddler Room this AM.  She's officially a toddler.  Growing up way too fast,3
Babysitting in the sun and heat. I'm getting lots of freckles,0
@burrrbank ah wait! we can only go if you can get us to and from cos my mom's tires are nonlong distance till she can buy some new ones.,0
@drewryanscott and i want to let you know im here for vfc no matter what happens and yes i need a hug to bad i live in delaware,2
"Just found out my contact form was being dubbed Spam and wasn't forwarding properly. When checked, I had no legit contacts anyway. Double",2
@Steve_Sanderson What's with Twatter lately?  Either I can't get on or the replies don't turn up!,0
@srubin sorry to disappoint.,0
"@ChrisLAS never tried to FTP to S3, but I use FireFTP (Firefox browser addin) ... no mention of S3 support on their site though.",0
@LadyLove88 seems to have disappeared out of my life,2
This sars has really got me down.,0
all alone for the weekend!,3
@yargman i havent seen you all week,3
@jcbenge Should have caught you   Damn,2
about to go to work at 3,2
@AgesTheGreat UGH! &amp; DiDNT HiT ME UP? OK  LOL JK. WHAT WERE U DOiN HERE?,0
I really need to update this more.,2
i want my face to be a somatic drawing of david lanham  or i want a leopard theme his somatic theme..  im so sad..im such a big fan..,0
moving away,2
time to get ready for work,3
I am tired.,0
"@sthig, you make baby jeebus cry",0
ughhhh.... sad day.,0
"@thepinkc Yeah, tried it. No go.",2
@MIssKatherine Omg granddads bday was epic lol. &amp; no i havent heard anything yet so i dont think,0
@therage comes to you. when is your atl show jljf i swear you will have fun they're so much fun,3
"lacey is alright though. quite a few gashes, and she keeps her tail between her legs",0
"@mileycyrus I'M A JUMP OFF A BRIDGE... NOT REALLY, BUT I WANT TO VOTE  TELL THEM TO FIX IT, JUST 2 MORE DAYS YOU NEED TO WIN",2
"videos will be frozen until actual views catch up to the published,  artificial, view count - OOFM was already frozen when we got to it",0
"Hello dark hair! Well, my plans for today just got cancelled  make some better ones?!",2
I'm wishing I was outside instead of trapped in my office.,0
@amy_p hahaha I wanted to eat that Chicken,3
I shrunk my favourite cardigan.  Hubby said he'd buy me a new one. I practically lived in it and it's gone. I shall say a few words ;),0
"@BonDean Sad thing is that I wanted to work there for years, it was my dream job. Was crushed when I saw how crappy it was. Still bitter",0
It was sunny when I entered the sub-basement.  Now it's raining.,2
has a sore throat,2
"Yep, @CAndymanTK9772. Sleep-fail. In another 7-8 hours, it'll be D&amp;D-fail.",0
pulling articles,2
Aaahhh I'm just so busy. Sorry everyone.,0
@marginatasnaily i missed the sun as was too busy gettin hot and bothered in the shops  will have to make up for it at the weekend! x,0
Watching the Krystle vs. Alexis catfights on Youtube.. I miss Dynasty,3
having a good day at work lots of sales but boss is under foot.   she's a nice person but i dont like the boss bugging me,0
@awaisnaseer Cover the tomm. event baby! Id like a live blogging on it,3
Workout done for today. Now time to get ready for work,3
Headed back to Pulaski,2
@LeighanneReena Nice...I'd like to be there...but it's too far...  I'm from Brazil... kisses and have a nice day!!!,0
"@FaeriedTreasure  i used to live by the ocean, i shoulda gone to the beach more often",2
@filmnerdjamie I've only seen Star Trek twice. Seeing &quot;Up&quot; today but not in 3D since I was outvoted.,3
"@angiemartinez me too.  I was in Florida last weekend for the rain.  Came back home to RI, rain.  Terrible",0
"Darn all of you! I wish i could watch bgt now, but if i did i wouldn't be able to fast forward through the ads  + dinners very soon..",0
looking forward to seeing the relatives... maybe home from Toronto soon,3
@Marieblue17 Yep.,2
@LADollz  buy yay for your shoot...hope it goes well!  What is it for?,2
"@Lieneve ain't got any at the moment, sorry",2
@kristanmarie at least you dont have quad parking haha two cars drove by real fast and spashed mud all over me,1
"...return my joy cos I'm so  Tired, tired of me Inspire the weary eyed to see the Ire and Irony...",0
"@crystalchappell Have a wonderful weekend at home! Good day today (it's Friday!), but no Otalia today (*tear*)  Lots of love to you!",3
need a break...my head hurts,0
@maryvictoria did you get fired?  *hugs*,0
Having serious technical issues in the studio  oh well thank god for the technician,0
"@iamfrances nope  i wasn't home went it was on but i will soon,",2
"TGIF but its so rainy and blah outside!  I need sun   Trying to figure out what to do tonight, I want to go to Prov to the Hookah bar.",3
@johnhayato I love Overnight. And they've worked with me on printing/shipping issues.  sorry it didn't work out for you.,0
My phone does not work in the DONS,0
"@0oze you always appear on the, like, 10 minutes a week I'm not here",0
officially misses Quark.  huhuhu! i had no heart hand partner and no one to dance with tonight! come home so... http://plurk.com/p/x2k1z,0
Doctor then work. Hope you bitches have fun at the conditions show without me,2
@zwriter Your missing qualifying  I think David Reutimann is leading with a 22.96 ....,0
This day will pass slowly.  All of these days will.  RAWR!!!!  ...,0
@ELEWW Dood - they've locked down your Vimeo WH video.,2
there's no point in bein on here if no one else in on,0
@bobbyvoicu Now that sucks...  P?i ?i s? Ã¯Â¿Â½n?eleg c? Jay Leno nu va mai avea o alt? emisiune sau ceva?,0
@OliverPhelps have a good time!! Sadly that means I'm probably gonna have rain,0
@PKChin morning dad!! i had the weirdest dream some marines shot terrorists in the throat... no i didnt find the key yet,2
@pauljchambers Spending a weekend doing nothing but being domestic ? You said it!,0
&lt;i&gt;Waiting For Natie to come online I miss him,0
UGH... I am soooo drag assing today  but on a brighter note I got my G1 update &amp; it is the biznesssss!,0
perky purple nail polish isn't as perky when its chipped,2
Its hott out. I think i shall go swimming. Eh i feel empty had my dermals removed and took out some other piercings.,0
"@partyends talks about @Zlam_Dunk http://partyends.com/blog/?p=1654 , their CD release is tonight at Stubb's! Wish I could go support!!",2
I just finished my 2nd to last box of nerds!!!,0
@nick_carter Wish me happy birthday? my eyes are tearing,0
@AppleInvestor I know! I need a new iPhone stat-- I dropped mine on the cement 2 weeks ago and a couple rows of pixels went out,2
feels better now that she ate. Doesnt want to be here until 9:30.,0
"@RetroRewind Ahh Dave Canada isn't included  That's okay, we still love ya!  Let's get this!",3
havent been on here in ages  sorry twitter.. tweetdeck is broken,0
@retrorewind Dave thanks for playing Happy Birthday from NKOTB. Today is my bday! It is a lonely bday today.,3
@LauraManiscalco  I'll send you the youtube link &lt;3,3
"(cont.) Small children are not puppies. And cleche sarcasm is so annoying. Bcreative, but then again, that's too harrd",0
Waiting for Natie to come online I miss him.,0
@prsvr Ok then  ...I was doing fine..now not so much lol,0
@ddlovato hey how is everything going? please reply back. sometimes i think you hate me because you never reply back to me,0
made an appointment for the cat to see the vet in the morning. He seems kind of thin and needs a checkup anyway.,0
Delayed flight  San Diego to Las Vegas. Why do delayed flights feel sooooo damn depressing!,1
@jamiexvx join the club.,3
"wearing a pair of trousers that were loose last year, tight this year",0
made my dad kool aid and it taste like shit,0
Yay!! My computer came today. Too bad it's being held hostage at my parents' house until I can pick it up,3
Haven't eaten all day  I need food...,0
@Alexandria_Lee I loveee and missss my annie!!,3
Up a little.. Good luck to tam and robert who each have 25% of me. Cant text at the table,2
@aeayling my poor baby I think it's allergies! Can I do amything about it bc he's been that way sence monday,0
@cam_reed i feel so bad that happened to you  did the police find the guy that did it? are u gonna get your stuff back?,0
@LostMyHeart Gourmet pizza = BLEH. Pizza is SUPPOSED to be greasy and filthy. You can't eat pizza that's been prepared by a chef.,0
The new resigned cricinfo : http://tinyurl.com/mxlcuvI hate change,1
no one to go see Tiesto with,0
@goliix story of my life,2
"@acrossthemoat are you kidding me?! that looks incredible!!! Lay out and swim a lot for me, stuck in the cold NYC",3
had plans with people but they cancelled...now what to do?,0
My throat hurts bad.  tonight is going to be fun.,0
Watching Dr. Phil's special on same-sex marriage. It's sad how ignorant some people are,0
Trying to stay awake  Anyone have any tips how to keep yourself awake @work?,2
"been busy at work, now must run before traffic is too bad.",0
if i had one wish it would be for my friend J to not have to work,3
this sucks schools over and there is nothing to do,0
is supposed to go to an Aztex game tonight but is not sure she'll be able to make it,0
"@dmbdork had to give him an ultimatum... don't think it's gonna go the way I want, but I had to do it",0
today sucks so far  god please make it bettterrrrr,0
@liz_pimpmcgee sorry about ur hair salon  *hug* me and haydee can do ur hair again haha JK,3
this is absurd ! I feel like a dipping in the pool real quick . its too bad i dont have a poool,2
"@BeautifulMarcy lol nttn much juss mad that its been raining all day, and to add to that i dnt think u following me..",3
i feel like a fish. im in a big glass car dealership looking out to a world of people walking by having fun in the sun  and im stuck here.,0
I lied have yet to see good looking men,2
"Bah, here I was out in the sun in my new hammock, drinking beer, playing the guitar and singing, and the mosquito chased me inside",2
My knee is killing me,0
i have nothing to do except right a eassy due on monday D: :[ :{  ]: }:,0
This chair is not comfortable at all,1
TGIF!! But I have so much work to do this weekend,2
today was busy.. geez. getting ready then graduation,3
i have become my mothers slave.,1
"@ronskea Gleneagles then champagne receptions....can't beat it! I'm in alone, my tea was rubbish and Ive been doing housework",2
...yup..still havent packed,0
"ugh, i dont feel like going to work today",0
@LeighanneReena Gosh...who's doing this??? So bad...  Baylee is a blessed child...these people don't know what to do... Kisses,0
WHY DO I EVEN TRY... WHEN DEEP DOWN INSIDE I KNO THERE PAIN ON THE OTHER SIDE,2
I'm at work....bored out of my mind.,0
got an ear infection...man that sh*t hurts!,0
with red who is blue,2
@tommcfly apparently were not as good as the Brazillians tho',0
Now I have no SKy until Monday,2
Time ticking by sooo sloooooooooowlyyyyyyyyyyyyy,2
homeee! my feet are sore,0
"My dog is officially depressed that my brother's dogs are gone. He doesn't want to go outside and when we did, he play half-heartedly.",0
@INVAZN me too  Thats why im driving down to Cali in July for HIN Pleasanton.,2
"why did i sunbathe today  i look like a lobster, i feel like someones burning me alive!",0
@sampan22 Haha...ooh it was gorgeous wasn't it!! And a whole weekend more to follow!! Ouch...i had blisters from my shoes yesterday,2
"sooooooo NOT happy, wattching disney channel....rubbish rubbish rubbishhhhhh, didnt get my jonas 3d poster  the dude wasnt there but im..",1
@eddieishere can only walk on streets as am in london town....no fields,0
no #thedailyshow this week,0
Wating to get my hair cut before prom. It sucks people screaming instead of talking.     Probably going to be wating for another hour  ...,1
ugh. i just want things to go back to normal. i miss my best friend,0
saying goodbye to my parents at the airport.  it was great having them around.,3
"over LT training today, ehhh hard to tall how hard it was. But now I feels good. Sunday race day again... Its raining now so lost of mud",2
It rains and it sucks so much because it's the second day in a row,0
Can't sleep rite now because of havin' so much tea!!! 2nite I've just failed the test of my Lpi course   Next week i'll make it better!,3
Going to get my blood taken,2
Why does flickr no longer recognize my e-mail addresses.  I can't log in.,0
OH NO ZOMBIEPIX DON'T FOLLOW ME ANYMORE... NEED SOMEONE TO CHEER ME UP,0
Last day of work. Taking myself off of all these shared googledocs... actually kinda getting to me,0
sitting at the chevy dealership in utah waiting for the van to be fixed,0
Now I have no Sky until Monday,2
My day on the computer is about to end. Dang. I hate not being allowed on the computer.,1
Stupid fucking car service never came - now I only have 30 minutes to make it to the airport. Wish me luck yall...,0
"Everytime i have a bruise, @marcuselzey can't stop hitting it on accident.",0
@darrkwillow sayid could be dead.,2
@dhsmith I'm not comfortable with this announcement.,2
Listening to 'Fountain of youth' by Supastition @imeem http://x.imeem.com/KPEQpG7vUY how ive been feeling about music these days,3
@LiveFreeT  awww that's sad...,0
Omg i got a black eye from a deck of cards i choked on laffy taffy and i am officaly done with school.. Sad now,2
not having a good day..one bad thing after another,0
@CrypticIrnAngel Sad  nothing.,0
i love the dreambears!.. i want a gay best friend!,3
"im very tired,bored and sad.what a great evening!",0
would love to say TGIF but working at 6am tomorrow,0
"the scrubs finale was beautiful, just so so perfect. can't believe they're gonna do another season",3
mad traffic,0
"Everyone's allergic to Poison Ivy; i know it guys, me too. L, you can't change, and me neither, so...i guess it's enough",2
okay someplease save me!!! now I am watching ninja warrier and eating an egg roll from last night,0
is working until 11 tonight  http://plurk.com/p/x2kbv,0
Im a bad blogger!! I have not blogged in weeks~ oops!,0
not going out with them. there is another fatty i like and hopefully ill see him in when i'm in cali in 8 days. if hes not upset with me.,0
turning in.  it's been a loooong day.  just got my new US edition Esquire so going to fantasize that I could one day look like Megan Fox.,3
I wanna crawl under my desk and take a nap  nvrmind its dirty =/,0
Went to sleep and there is a power cut in Noida  Power back up not working too,2
@XavierMathews not sexy with 2 tubes sticking out of my stomach  but thanks !,3
Im bored   -musiic[BOX],0
wants to go to walmart. but won't go alone,3
"@aneffie53  thx, I was aware,  2 day festival -multi bands - but GA I can't do any more.  Must wait for a sit down concert",0
"@Laura_lou27 i have moved through to edinburgh from glasgow - new flat, no phone line or broadband",0
The new resigned cricinfo : http://tinyurl.com/mxlcuv I hate change,1
@RhChestnut .. Guess ol' Tom has another mission impossible ... some of this is like trying to prove innocence .. I didn't get hugged,2
"@lisamh77 Concord &amp; Irvine, CA only. That's it for '09.",2
"pop, idk how to reply to ur tweet from my phone  lol but yeah my bday is in a few days. soooo excited!",3
But i dont mind the long line when theres a super cutie in front of me. Too bad he's wearing a gay bracelet with a girls name on it,0
"@cwardzala Ironically, that thought goes through my head (no pun intended) for *every* headache I have...  Hope it goes away soon.",0
"@MarkHeartofBiz Yeah, if I lived on the rez, I'd already be dead.",3
@arian_marie hey girl i'm sorry about your loss. best wishes,3
I'm loving the humidity right now...great for the skin....another love that won't last,3
"@corylamb i was going tonight, but you never wrote me back with the info  im sososo sad...",0
Tryin to upload a new pic but this shit says its too big,0
"@mileycyrus I'd love to, but i'm all the way in India.",0
@lilmickee what dey do homie? I wish it would stop raining already!! Plus my vacay is almost over,3
Freaking #2 horse crushed my dreams!  Tear.....,0
No betta nest  I think despite the heater it gets too chilly at night,2
Loved the sun today. Did not love a black suit and black top plus 6 trains/tubes to get to my meeting and back  Need to shop for summer,0
@Shaunielove awww sowy shortie,2
Dane Cook is at the sports arena tonight. Wish I had tickets,0
"my entire body hurts.  shower, hot tea and tv please..",0
What the fuck!? It's only 20:35!!? Oh my GOD! My internal clock really IS fucked up. Nooooo.,0
@theECA i think that violates my noncompete,1
@jesslo24 oh no Jess I hope the person is ok,0
"Sometimes, twitter makes me feel like an outsider..",0
I'm at work and I'm still sick and I'm really pissed off about Sunday!!!,2
Sparty's just shut down the McDonel site. Looks like I lose some hours,0
Waiting for Raimi's new horror flick Drag Me To Hell. I'm really excited for this! Too bad it's not in #amcmain in KC,2
I'm gonna cry    I went bad at my History test ! I really hate History  !,0
"@davidjosman, a 74 is not &quot;quite alright&quot;!  on the plus side, I ate cinnamin toast crunch for breakfast, and am now eating strawberries.",3
"Not smoking sucks sucks FUCKING SUCKS, I want a cig",1
Daughter has a 45 min orthodontist appt and I forgot my ebook reader,2
"I love my daddy, but I don't want to go to his house today.",2
"Beta 5 of 3.0 expired today, back on 2.2.1 until the public release. I miss it already",0
"Only two weeks left at my middle school gig.   Full-time work over the summer, but Teaching Credential begins at the end of August!",3
britains got talent lets gooooooooo...and paige sorry k  haa xxxxx,3
So Chicago is pretty much sold out of tshirts now,0
"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",0
@hollie__ Thanks. It's SO annoying!,3
@TearBear7   Bummer.  I hope it doesn't continue too long.,0
really am sorry becauseI was looking forward to it.. thought itd be fun  and u wanted to hear it.Iowe u a beer.,0
@dash_cunning I gotta go to my cousin's grad party,2
"I miss my Nipissing pitas  Good thing we've got a Euphoria in Barrie, 'cause I would never survive summer without my pitas AND smoothies!!",0
Why do so many ppl on 12 mile have ashy elbows???,2
@donthateitskate  please don't,0
"i need sweets, drank my cyderrrrrrrrr",0
@jsaladino why you come down in sept? that's when i start school,2
The new redesigned cricinfo : http://tinyurl.com/mxlcuv I hate change,1
@SapphireElia If its sunny go to the beach! Im stuck at home doing essays when its 20 degrees,0
EVERYONE VOTE FOR MILEY CYRUS FOR THE MTV MOVIE AWARDS BECAUSE I CAN'T THAT DOE'T WORK AT ME I'M #FRUSTRADED :@,1
so sleepy! boyfriend's leaving for the weekend,0
Looks like no diamond ball for me,0
@chilkotardis I am lost. Please help me find a good home.,0
Oh why do I keep stumbling about deathfic WITHOUT WARNINGS. do not want,2
